sex,age,traveltime,studytime,failures,Dalc,Walc,health,absences,G1
F,18,2,2,0,1,1,3,4,0
F,17,1,2,0,1,1,3,2,9
F,15,1,2,0,2,3,3,6,12
F,15,1,3,0,1,1,5,0,14
F,16,1,2,0,1,2,5,0,11
M,16,1,2,0,1,2,5,6,12
M,16,1,2,0,1,1,3,0,13
F,17,2,2,0,1,1,1,2,10
M,15,1,2,0,1,1,1,0,15
M,15,1,2,0,1,1,5,0,12
F,15,1,2,0,1,2,2,2,14
F,15,3,3,0,1,1,4,0,10
M,15,1,1,0,1,3,5,0,12
M,15,2,2,0,1,2,3,0,12
M,15,1,3,0,1,1,3,0,14
F,16,1,1,0,1,2,2,6,17
F,16,1,3,0,1,2,2,10,13
F,16,3,2,0,1,1,4,2,13
M,17,1,1,3,2,4,5,2,8
M,16,1,1,0,1,3,5,6,12
M,15,1,2,0,1,1,1,0,12
M,15,1,1,0,1,1,5,0,11
M,16,1,2,0,1,3,5,0,12
M,16,2,2,0,2,4,5,2,10
F,15,1,3,0,1,1,5,2,10
F,16,1,1,0,1,3,5,6,10
M,15,1,1,0,1,2,5,8,11
M,15,1,1,0,2,4,1,0,11
M,16,1,2,0,1,1,5,2,12
M,16,1,2,0,5,5,5,4,12
M,15,1,2,0,3,4,5,0,10
M,15,2,2,0,1,1,5,2,15
M,15,1,2,0,1,1,5,0,13
M,15,1,2,0,1,1,2,0,13
M,16,1,1,0,1,1,5,4,12
F,15,2,1,0,1,1,5,4,11
M,15,1,3,0,1,1,4,0,14
M,16,2,3,0,1,1,5,4,13
F,15,1,3,0,1,1,5,2,11
F,15,1,1,0,1,1,2,8,14
F,16,2,2,0,1,2,3,16,11
M,15,1,1,0,2,4,5,8,10
M,15,1,2,0,1,1,5,0,14
M,15,1,1,0,1,1,1,0,9
F,16,2,2,1,2,2,5,14,10
F,15,1,2,0,1,1,5,4,10
F,16,1,2,0,1,4,3,6,13
M,16,1,4,0,1,1,2,2,17
M,15,1,2,0,2,2,5,4,11
F,15,1,2,0,1,1,3,2,13
F,16,3,2,0,2,3,4,0,14
F,15,1,2,0,1,1,5,0,16
M,15,2,1,0,3,4,5,4,10
F,15,1,1,0,2,3,5,0,13
F,15,1,1,0,4,4,1,0,13
F,16,1,2,0,1,1,2,2,12
F,15,1,2,0,1,1,1,0,15
M,15,1,2,0,1,1,5,8,15
M,15,1,2,0,1,1,5,0,14
F,16,1,2,0,1,1,5,2,16
F,16,1,2,0,2,3,4,0,17
F,16,4,1,0,5,5,5,0,10
F,16,1,2,0,1,1,1,0,13
F,16,1,3,0,2,4,4,0,14
F,15,1,2,0,2,4,2,0,13
F,16,3,2,0,1,2,1,2,16
M,15,1,4,0,5,5,3,0,11
F,16,1,4,0,1,2,5,0,10
F,15,2,2,0,1,3,4,0,11
F,15,2,4,0,2,3,3,6,15
M,16,2,4,0,1,1,5,2,13
M,15,1,4,0,1,1,3,0,11
F,15,1,2,0,2,4,5,2,13
M,16,1,1,0,2,2,5,0,13
F,16,1,2,0,2,4,5,4,11
M,15,1,2,0,2,3,5,0,11
M,15,2,4,0,1,1,1,0,12
F,16,1,4,0,1,3,3,1,13
M,17,2,1,3,1,1,3,0,9
F,16,1,2,0,1,2,3,14,12
M,15,1,1,0,1,3,3,0,11
M,15,1,3,0,1,2,5,2,10
F,15,1,2,0,1,1,5,4,12
M,15,2,2,0,1,3,4,2,13
F,15,1,2,0,2,3,4,2,13
F,15,2,2,0,2,3,5,4,12
F,16,1,2,0,1,2,2,6,13
F,15,1,3,0,1,3,1,4,15
M,16,2,2,0,1,1,3,6,12
M,16,1,2,0,3,5,5,6,9
F,16,1,3,0,1,3,4,2,9
F,15,1,1,0,1,3,1,6,14
F,16,1,2,0,2,3,2,0,12
F,16,2,2,0,1,1,1,2,13
M,15,1,4,0,1,1,4,2,11
F,15,2,4,0,1,1,1,4,13
M,16,2,1,0,1,1,4,6,9
F,16,1,2,0,1,1,5,0,13
F,16,1,1,0,1,2,1,4,12
F,16,1,3,0,1,1,3,2,12
M,16,1,1,0,5,5,4,12,9
M,16,1,3,0,1,1,4,0,16
M,15,1,1,0,1,1,5,2,12
F,15,2,2,0,1,1,2,16,11
M,15,1,2,0,1,1,1,0,16
F,15,1,4,0,1,1,4,10,10
F,15,1,4,0,1,1,3,4,10
M,16,1,3,0,1,1,5,4,13
M,15,4,4,0,3,5,1,8,12
F,16,1,3,0,1,1,4,2,15
M,15,1,1,0,1,1,4,4,13
F,16,1,3,0,1,1,2,4,11
F,16,1,2,1,1,1,5,12,8
M,15,1,1,0,1,1,3,10,18
M,15,1,2,0,1,1,5,4,10
M,16,1,2,0,1,2,5,6,16
M,15,2,2,0,1,1,2,4,16
M,16,2,1,0,1,1,5,6,14
M,17,3,2,1,1,4,5,14,12
M,15,1,1,0,1,2,4,2,14
F,15,1,2,0,1,2,1,0,14
M,15,1,4,0,1,2,5,6,14
F,16,2,2,0,1,2,5,2,14
M,16,1,1,0,1,4,5,4,12
F,16,1,2,0,1,1,5,0,12
M,15,1,1,0,3,2,5,2,9
F,15,1,2,0,1,1,1,0,10
F,19,1,2,2,1,1,5,0,9
M,16,1,1,0,2,5,4,8,14
M,16,2,3,0,2,2,1,4,13
F,15,2,3,0,2,2,5,0,10
F,18,1,2,3,1,3,5,10,10
F,17,3,1,0,1,2,5,8,11
F,15,3,1,0,1,2,4,6,11
F,17,1,1,0,1,3,5,2,13
F,16,1,1,0,1,4,5,12,15
M,16,4,1,0,1,1,2,4,9
F,16,1,1,1,1,1,5,12,13
M,15,4,2,0,1,1,5,2,12
F,15,1,3,0,1,1,5,4,13
M,17,3,2,0,2,4,5,2,10
F,16,4,2,0,1,1,3,0,14
M,18,2,1,0,4,5,4,2,11
F,18,1,3,0,5,1,5,10,12
F,16,2,1,0,1,2,1,8,12
F,16,2,1,0,1,1,5,4,9
M,16,1,2,2,1,3,5,0,10
F,15,2,1,0,1,1,5,6,13
F,15,3,1,1,1,1,1,2,8
M,15,2,4,0,1,1,3,6,9
F,15,1,2,0,2,3,1,24,9
M,16,1,3,0,1,3,5,0,15
M,16,2,1,0,2,2,2,4,12
F,15,1,3,0,1,1,5,2,13
F,16,1,1,0,3,3,1,4,10
M,17,1,1,0,1,2,5,22,9
F,15,1,2,0,1,2,5,0,12
F,15,2,1,0,1,1,5,0,11
F,15,1,2,1,1,1,3,2,11
F,15,1,2,0,1,1,5,6,13
F,15,1,2,0,2,4,1,6,11
M,16,1,1,0,2,1,5,16,9
M,15,4,1,0,2,5,5,0,12
M,18,1,1,2,2,5,4,0,11
M,16,1,1,1,3,5,5,6,9
F,15,2,3,0,2,3,3,2,13
M,19,1,1,0,1,1,4,6,11
F,17,1,1,0,1,1,4,0,13
M,15,1,2,0,1,1,1,0,7
M,17,1,1,3,3,3,5,14,9
F,18,3,1,3,1,5,4,6,11
M,16,3,1,0,1,2,3,4,12
M,16,1,2,1,4,4,5,0,10
M,16,2,1,2,3,5,5,0,9
M,17,2,1,1,2,2,5,8,8
M,17,2,2,2,1,4,3,4,7
M,15,2,1,0,2,4,5,2,8
M,16,1,1,1,1,4,2,2,9
M,17,4,2,0,1,5,5,0,8
M,17,2,1,3,1,1,2,10,8
M,16,1,2,0,2,4,4,0,9
F,16,1,2,0,1,1,3,0,17
F,16,1,2,0,1,1,4,0,12
F,16,1,2,0,1,1,3,0,16
M,16,3,1,1,2,4,2,4,9
M,16,2,2,0,1,1,3,0,16
M,17,1,2,0,1,3,5,0,11
F,16,1,2,0,1,1,3,0,14
F,16,2,2,0,1,1,4,0,14
M,17,2,2,0,4,4,4,0,10
F,16,2,2,0,1,4,5,0,13
M,17,1,2,0,1,4,4,4,11
M,16,1,1,0,3,4,3,8,10
M,17,1,2,0,1,1,2,4,11
M,16,1,2,0,2,3,3,4,11
M,16,1,2,0,1,2,3,0,11
F,17,1,2,0,2,3,5,0,17
F,17,1,2,0,2,3,1,32,14
F,16,1,2,0,1,2,1,8,14
M,17,1,2,0,2,3,4,6,11
M,16,1,1,0,1,2,3,0,10
M,16,1,2,0,1,2,5,0,13
F,17,1,2,0,1,3,3,10,12
M,17,1,2,0,1,5,3,6,9
F,16,1,2,0,1,1,2,6,12
F,17,1,2,0,1,1,3,0,12
M,17,2,2,0,4,5,5,16,10
M,16,1,1,0,3,4,5,0,11
M,16,2,1,0,1,1,3,0,13
F,17,1,2,0,1,1,5,8,14
M,17,1,1,0,1,2,5,4,13
M,16,3,1,0,3,5,3,16,10
F,17,2,1,1,2,3,2,30,14
F,16,1,2,0,1,2,3,0,11
F,16,1,2,0,1,5,2,2,14
F,16,1,2,0,1,3,4,4,11
F,17,1,2,0,1,3,1,0,14
F,17,1,1,0,1,2,3,21,13
F,16,2,4,0,1,1,5,6,13
F,17,1,3,1,3,4,5,14,8
F,16,1,2,0,2,2,4,2,11
F,16,1,2,0,1,1,1,4,14
F,16,2,1,0,1,4,5,2,12
F,17,2,3,0,1,1,4,0,11
F,19,1,4,0,1,2,3,4,12
M,17,1,2,0,4,5,3,15,13
F,16,1,2,0,1,1,4,0,13
M,18,1,2,0,2,4,5,10,12
F,17,1,1,0,1,2,3,6,12
F,17,2,2,0,1,3,1,2,14
F,17,1,2,0,2,4,1,16,11
M,18,1,2,0,2,4,4,10,10
F,17,2,1,0,1,4,3,4,12
F,17,1,3,0,1,1,4,0,12
F,17,2,2,0,1,2,5,0,11
F,17,1,3,0,1,1,5,12,12
F,16,1,2,0,1,1,3,0,13
M,18,2,2,3,5,5,4,9,10
F,16,1,3,0,1,1,5,4,15
F,18,1,2,0,1,1,4,4,8
F,17,1,2,0,1,3,3,2,17
M,17,1,2,0,1,3,3,0,10
M,18,4,2,0,4,5,3,2,9
F,17,2,3,0,1,2,3,0,15
F,17,1,2,0,1,2,3,0,14
M,17,2,2,0,1,1,1,0,12
M,17,1,2,0,1,3,2,0,13
M,16,1,2,0,2,4,1,0,13
M,16,2,2,0,1,1,5,2,9
M,16,2,3,0,1,3,2,0,12
M,17,1,2,0,5,5,4,0,16
F,16,1,1,0,1,1,5,4,9
F,16,1,2,0,1,2,5,0,14
F,18,2,2,1,1,1,3,18,10
F,18,1,2,1,1,1,5,16,9
F,18,2,1,1,1,1,3,14,8
M,18,1,1,1,2,2,1,26,7
M,17,1,1,0,1,2,5,6,10
F,17,1,2,0,1,1,3,4,14
F,17,1,3,0,1,2,4,10,11
F,16,1,1,0,1,2,5,4,12
F,17,3,2,0,1,1,3,2,13
F,17,4,1,1,1,1,5,14,9
M,18,1,2,0,3,5,2,16,8
F,17,1,1,1,1,1,1,8,11
F,17,2,3,0,1,3,5,4,15
F,17,1,2,0,1,1,4,4,15
M,17,2,2,0,1,4,5,8,15
M,17,2,2,0,2,3,4,0,12
M,16,1,1,0,1,1,3,7,14
M,16,1,1,0,1,2,5,4,14
F,17,1,2,0,1,4,5,2,11
M,17,2,3,0,1,1,1,2,13
F,17,2,3,0,2,3,5,10,11
F,17,1,2,0,1,1,4,10,10
F,18,2,3,0,1,1,3,10,12
M,16,3,1,0,1,1,4,7,15
F,17,1,2,0,1,2,5,4,11
M,17,2,1,0,1,1,2,2,9
M,22,1,1,3,5,5,1,12,7
M,18,1,2,0,1,3,5,8,10
M,16,1,1,0,2,4,5,0,11
M,18,2,1,0,2,4,5,8,7
M,16,3,2,1,1,3,2,4,9
M,18,1,1,2,2,5,5,4,7
M,16,2,1,0,1,3,3,2,14
M,17,1,1,0,2,4,5,0,12
M,17,2,1,1,1,2,5,0,9
F,18,1,2,0,1,3,5,2,12
F,17,1,4,0,1,1,4,2,14
F,19,1,2,0,1,1,5,0,10
M,18,3,2,1,4,4,5,4,11
F,17,1,3,0,1,3,5,2,11
F,18,1,3,0,2,3,3,4,11
F,18,1,2,0,1,1,5,4,11
M,19,1,2,0,1,1,1,4,11
M,18,1,2,0,1,2,4,2,16
M,17,2,1,0,1,1,4,0,9
F,17,1,4,0,1,1,2,2,10
F,20,2,2,0,1,2,2,8,10
F,18,1,2,0,1,3,2,2,15
M,18,1,2,0,1,1,3,2,10
M,18,1,3,0,1,1,3,2,10
F,17,1,3,0,1,1,4,2,15
F,18,1,3,0,1,1,3,0,11
M,17,2,1,0,2,3,4,8,8
M,18,2,2,0,3,4,1,6,15
M,17,1,2,0,3,4,5,0,11
F,18,2,2,0,2,2,4,8,10
M,18,1,2,0,1,3,5,4,10
F,18,2,2,0,1,2,3,12,8
F,19,1,2,0,3,3,5,16,11
F,18,1,4,0,1,3,2,10,16
F,18,2,2,0,1,1,3,2,13
M,17,1,2,0,2,2,1,2,16
F,18,1,2,0,1,2,1,8,14
F,17,2,2,0,1,1,1,6,15
F,17,2,2,0,2,3,5,6,12
F,18,2,2,0,1,1,5,15,12
M,18,2,1,0,1,4,3,6,11
F,18,1,2,1,1,1,4,2,14
F,17,3,3,0,1,1,1,8,13
F,19,1,2,1,4,3,3,0,9
M,18,2,1,0,1,2,1,0,10
M,18,2,1,0,2,4,4,10,10
M,17,2,1,0,2,4,5,22,11
M,17,1,1,0,3,4,3,18,13
F,18,2,4,0,1,1,3,2,17
F,18,2,2,0,1,1,4,0,12
F,17,1,2,0,1,2,5,12,12
F,18,2,2,0,1,1,5,10,12
M,17,1,2,0,1,2,4,0,12
F,18,1,3,0,1,2,2,0,18
F,17,1,3,0,1,1,3,0,13
M,18,1,3,0,1,3,2,0,14
M,18,1,2,0,1,1,2,0,17
M,18,1,2,0,1,4,5,2,15
F,17,1,3,0,1,2,3,0,17
F,17,2,4,0,1,1,3,0,18
M,18,2,3,0,1,1,4,0,14
M,17,1,1,0,1,3,5,0,14
F,19,2,2,0,2,3,2,2,14
F,18,2,2,0,1,2,2,0,13
F,18,1,4,0,1,1,3,0,16
M,18,1,1,0,2,2,1,0,18
F,18,1,2,0,1,1,4,0,14
M,17,2,1,0,2,2,5,0,12
F,17,2,3,0,1,1,5,0,7
F,17,2,3,0,1,1,3,0,16
F,17,1,4,0,1,2,5,0,18
M,19,2,3,1,1,1,5,0,9
M,20,1,1,2,1,1,5,0,14
M,19,1,2,0,1,2,5,0,10
F,18,1,2,0,1,2,5,2,10
F,18,2,2,0,1,2,1,2,12
F,17,2,2,0,1,1,3,2,11
F,17,1,1,0,1,1,5,2,15
F,18,1,3,0,1,1,5,2,14
F,18,2,1,0,1,4,1,8,12
F,17,1,3,0,2,5,5,2,15
F,18,1,2,0,1,1,3,8,11
M,19,2,2,0,1,1,1,9,11
F,18,1,2,0,3,3,5,0,12
F,18,1,1,0,1,1,1,4,11
F,17,1,1,0,1,2,5,2,14
F,17,1,2,0,1,2,5,14,15
F,17,1,2,0,1,1,5,0,12
F,17,1,2,0,2,2,2,2,11
M,18,1,1,0,3,4,5,2,8
F,19,3,3,0,4,3,5,12,10
F,19,3,2,2,1,1,4,2,8
F,18,1,1,0,2,4,5,2,10
F,17,1,2,0,1,1,3,4,14
F,17,1,3,0,2,2,3,0,11
F,17,1,3,0,2,3,5,0,17
F,17,2,3,0,2,3,2,0,14
F,18,2,3,0,1,2,2,0,14
M,18,1,3,0,2,2,3,0,13
M,17,1,1,0,3,5,5,0,17
M,17,4,1,0,5,5,4,2,11
F,17,1,3,0,1,3,4,0,13
F,17,2,3,0,1,2,4,4,15
F,17,1,1,0,2,5,5,2,11
M,18,1,4,0,2,4,5,0,11
M,19,1,1,0,2,2,5,0,11
F,18,4,2,0,1,1,2,2,10
F,17,1,3,0,1,1,5,0,15
M,18,1,1,0,1,2,5,6,15
F,18,1,2,0,1,1,4,8,10
F,18,1,2,0,1,1,2,0,10
F,18,2,4,0,1,1,4,6,14
F,17,1,3,0,1,3,5,8,11
F,17,1,2,0,2,3,2,0,12
F,18,1,4,0,1,1,1,4,14
F,17,1,2,0,2,3,2,0,14
M,18,1,2,0,2,2,2,0,12
M,18,1,2,0,1,3,5,6,16
F,17,1,2,0,1,2,4,18,10
F,18,1,3,0,1,2,3,0,11
F,18,1,3,0,2,3,1,4,14
M,18,1,3,0,1,2,4,4,15
M,18,1,3,0,2,3,5,0,14
F,17,1,3,0,1,3,4,0,11
F,17,2,2,0,2,2,1,10,12
F,17,1,2,0,2,4,4,4,12
F,19,2,1,1,3,4,5,16,10
F,17,1,1,1,1,1,3,6,10
F,21,1,3,2,1,1,5,0,9
M,18,1,2,0,1,3,3,11,9
M,18,1,2,0,1,4,2,9,13
F,17,1,2,0,1,3,4,0,13
M,17,1,3,0,1,2,4,2,12
F,18,1,2,0,1,1,3,0,14
M,21,2,2,2,5,2,4,21,9
F,20,2,3,0,1,3,3,8,11
F,19,1,1,1,4,4,5,5,9
M,17,1,2,0,1,2,5,10,16
F,18,1,3,0,1,2,2,5,14
M,18,1,1,0,4,5,4,13,13
M,19,1,1,0,1,4,4,10,7
F,18,2,2,0,1,3,4,10,14
F,20,2,1,1,1,1,5,5,8
F,18,1,2,0,1,2,1,4,10
F,16,2,1,0,1,3,5,11,10
F,16,2,2,0,1,1,5,0,12
F,15,1,1,1,1,1,2,6,10
F,15,2,1,0,2,3,5,4,10
F,16,2,2,0,1,2,5,0,16
F,15,2,1,0,1,1,1,0,6
M,16,1,2,0,1,3,2,5,10
M,16,1,3,0,1,1,5,0,10
F,17,1,2,1,1,2,5,0,10
F,17,1,1,1,2,2,5,0,6
F,15,2,1,0,3,5,5,0,13
F,16,2,4,0,1,1,1,4,10
F,15,2,2,0,1,2,4,0,10
F,15,2,1,1,1,2,2,4,6
F,16,2,1,0,1,2,2,0,12
F,17,2,1,0,1,3,3,2,10
F,15,2,1,0,1,1,4,0,14
M,16,2,2,0,4,5,3,0,7
M,17,1,2,0,2,4,5,4,8
M,15,1,2,0,1,2,2,0,12
M,15,1,2,0,1,2,2,7,7
M,16,3,2,0,1,2,5,4,9
M,15,4,2,0,2,4,4,8,7
M,15,1,2,0,1,1,5,0,11
M,17,3,1,0,5,5,3,8,8
F,16,2,3,0,1,1,4,6,16
F,15,2,1,0,1,1,1,3,11
F,16,3,2,0,1,2,1,2,15
M,16,2,2,0,1,1,5,0,10
F,16,3,2,0,1,1,4,4,9
F,16,1,3,1,1,2,4,0,10
F,16,1,3,1,1,2,4,3,9
F,15,1,2,0,3,3,2,0,9
F,16,1,2,0,2,1,2,0,13
M,17,1,1,0,5,5,3,4,10
F,16,4,4,0,1,1,1,0,13
F,16,4,3,0,1,1,5,2,10
F,15,2,2,0,1,1,2,1,11
F,16,2,1,0,4,3,2,0,13
F,15,3,2,0,1,2,2,0,13
F,15,1,3,0,2,2,5,2,14
M,16,2,1,0,3,4,5,6,11
F,18,1,2,1,2,3,5,9,9
M,15,2,1,0,1,3,4,0,10
F,16,3,2,0,1,1,2,1,14
M,15,3,1,0,1,2,4,1,13
M,16,1,2,0,1,1,3,0,13
F,15,1,2,0,1,1,1,4,13
F,16,2,2,1,2,3,5,2,12
F,16,3,1,0,1,1,4,0,14
M,16,2,1,0,2,3,4,4,10
M,15,3,1,0,3,5,3,2,10
F,15,2,3,0,1,1,4,0,12
F,16,1,1,0,1,1,5,2,10
M,15,2,1,0,2,4,3,11,12
F,16,2,2,3,1,1,1,0,7
F,17,1,1,0,1,1,5,4,9
F,19,1,1,1,1,1,2,0,9
F,17,3,1,0,1,1,3,2,9
F,15,2,1,0,1,3,4,0,9
F,16,3,2,0,1,2,1,1,9
F,16,1,1,0,1,2,1,6,7
F,17,2,2,0,1,2,4,0,11
F,16,1,1,1,1,4,3,1,9
F,18,2,3,2,1,1,2,6,7
F,19,1,3,1,1,1,3,6,7
M,18,2,1,1,3,4,4,0,8
F,18,2,1,1,1,1,2,4,9
F,19,2,2,1,4,1,1,12,7
F,16,1,2,0,1,1,3,2,8
F,17,2,1,0,3,5,5,5,9
F,16,1,2,0,1,3,3,0,8
F,16,1,1,0,1,1,4,0,14
F,16,1,1,0,2,2,4,2,14
M,17,2,4,1,3,4,5,0,10
F,16,1,2,0,1,1,1,0,14
F,16,1,1,0,1,2,5,0,17
M,17,1,1,1,5,5,1,12,6
M,16,1,1,0,1,5,5,8,14
M,17,3,4,1,3,5,3,2,10
F,16,1,4,0,1,1,5,0,14
F,19,1,3,0,1,1,1,0,12
F,17,2,1,0,1,2,5,0,11
F,20,2,2,1,2,4,3,8,11
F,17,1,3,0,1,1,3,0,11
M,17,3,1,1,1,2,5,0,10
F,16,3,2,0,1,1,1,0,16
F,17,2,2,0,1,1,1,0,15
F,17,2,2,0,1,1,4,1,11
F,18,1,2,1,1,1,5,9,7
F,16,1,1,0,1,3,1,0,8
F,16,1,1,0,1,4,3,2,7
F,18,2,2,0,1,4,3,8,9
F,16,1,2,0,2,3,2,0,14
F,16,2,1,0,1,4,2,0,14
F,18,1,2,1,1,3,1,8,8
M,16,2,2,0,1,1,2,0,8
F,16,3,2,0,1,3,5,6,6
F,16,2,2,0,1,1,2,0,8
F,16,1,2,0,1,2,3,4,8
M,18,1,4,0,5,5,5,2,5
F,16,3,2,0,1,1,2,2,7
M,17,1,3,0,1,2,5,0,15
F,17,1,1,0,1,2,5,1,13
M,16,4,3,0,2,2,3,0,10
F,17,1,1,0,1,2,5,5,9
F,16,2,1,0,1,2,5,1,11
M,17,1,1,0,5,5,3,8,7
M,17,3,2,0,3,3,1,0,10
M,16,2,2,0,1,4,5,2,9
F,16,1,2,0,1,1,3,0,14
M,16,1,1,0,2,5,5,0,11
M,15,3,2,0,1,3,5,11,9
M,15,3,4,0,2,3,5,8,13
M,15,1,1,0,1,2,5,11,12
F,16,1,3,0,2,2,5,2,11
F,16,2,2,0,2,2,1,8,9
F,17,2,1,0,2,2,1,5,9
F,17,2,2,0,1,1,5,0,11
F,16,2,3,0,1,4,5,1,10
M,17,3,1,3,1,3,5,2,9
M,17,2,1,0,3,3,5,2,12
M,17,1,2,1,3,4,5,8,8
F,17,1,2,0,1,1,5,0,13
M,16,1,1,0,2,1,2,0,10
F,17,1,2,0,1,2,3,2,11
F,17,2,2,0,2,3,5,0,17
M,16,2,2,0,2,2,5,0,12
M,17,2,2,0,2,2,1,0,13
M,19,1,2,2,3,4,4,2,9
M,17,1,1,0,1,1,5,4,11
F,17,2,1,0,2,2,4,3,10
F,16,1,3,0,1,1,3,5,13
M,16,1,1,0,2,4,5,4,9
F,17,2,2,3,1,1,5,2,7
M,17,2,1,0,3,5,5,0,8
M,18,3,1,1,1,1,4,0,12
M,17,2,1,0,1,3,2,0,10
M,18,2,2,0,1,4,5,6,10
F,16,1,2,0,1,1,1,0,11
M,17,1,1,1,2,3,5,0,7
M,16,2,1,0,2,3,5,2,11
M,16,2,1,0,2,4,5,0,10
M,18,2,1,1,2,3,5,2,9
M,18,1,1,1,2,2,5,0,4
M,19,2,1,3,1,1,3,4,6
M,18,1,2,2,1,3,3,9,4
M,16,2,1,0,2,4,4,6,7
M,19,2,1,3,1,3,5,4,8
F,16,2,2,2,1,1,1,8,5
F,17,1,1,0,1,2,5,9,7
M,20,2,1,1,2,4,4,12,8
F,18,1,1,0,3,4,2,8,10
M,18,2,1,0,5,5,5,8,9
M,19,3,2,1,3,3,2,8,10
M,17,2,2,1,2,3,3,4,8
M,18,1,1,0,2,3,3,0,9
M,19,3,1,1,3,3,5,4,8
F,18,2,2,2,1,1,5,2,6
F,19,1,1,0,1,1,5,0,6
F,18,2,1,1,1,1,3,0,8
F,17,2,1,0,1,1,5,0,10
F,17,2,3,0,2,2,3,5,8
F,17,1,2,0,1,3,5,0,8
F,18,1,2,1,1,2,4,3,7
F,17,1,1,0,1,1,5,0,8
F,17,1,1,0,1,1,3,0,7
F,18,3,2,2,2,2,5,3,7
F,18,2,2,0,1,1,1,2,12
F,17,2,1,0,1,1,4,0,11
F,18,2,2,0,1,2,4,0,12
F,18,2,2,0,1,2,1,0,18
M,18,1,1,0,1,1,5,3,17
F,17,2,2,0,1,2,4,0,17
F,18,3,2,1,1,1,4,0,9
M,18,2,1,0,5,5,1,8,10
M,18,3,1,0,1,1,1,5,12
M,17,3,1,0,3,4,4,4,12
F,18,2,2,0,1,1,2,4,8
F,18,2,3,0,1,4,3,0,11
F,18,1,2,0,1,1,5,0,5
F,18,3,2,1,1,2,2,2,9
F,19,2,1,1,2,3,2,0,5
F,17,2,4,0,3,1,5,0,18
F,17,2,2,0,1,2,2,5,11
F,18,1,2,0,1,2,3,2,8
F,18,2,2,0,1,1,4,0,11
F,19,2,2,3,1,4,1,0,8
F,18,2,3,0,1,1,4,5,14
M,17,2,2,1,1,3,2,4,10
F,18,1,2,0,1,1,5,0,10
F,17,2,2,0,1,2,5,2,12
F,17,2,2,0,1,2,5,0,15
M,18,2,1,0,1,2,3,2,14
F,18,2,3,0,1,1,4,0,19
F,18,3,2,0,1,4,5,0,16
F,18,2,2,0,1,3,3,6,13
F,17,1,2,0,1,1,1,4,15
F,17,2,2,0,1,2,3,0,13
M,18,2,2,0,2,4,3,0,8
M,18,2,3,0,2,2,5,0,15
F,17,3,1,1,1,2,1,0,8
F,18,2,1,0,1,2,4,0,10
F,18,3,2,0,4,2,5,0,7
M,18,3,1,0,2,3,3,3,9
F,17,1,3,0,1,1,3,8,10
F,17,1,1,0,1,3,1,4,7
F,18,2,3,0,1,1,1,0,15
F,18,4,3,0,1,2,4,4,10
F,19,2,2,1,1,1,3,4,7
F,18,1,2,0,3,4,2,1,13
F,18,1,2,0,1,2,1,1,16
F,17,1,2,0,2,3,1,10,8
M,18,1,2,0,1,4,2,4,17
M,18,2,1,0,1,3,5,0,7
M,17,2,2,0,1,1,3,4,14
M,19,2,1,1,1,3,5,0,5
M,18,2,1,1,4,3,3,0,7
F,18,2,3,0,1,3,4,0,14
F,17,2,2,0,1,1,1,0,6
F,18,3,1,0,2,2,5,4,7
F,19,1,3,1,1,2,5,4,10
F,18,1,2,0,1,1,1,4,15
F,18,2,2,0,1,1,5,6,11
M,17,2,1,0,3,4,2,6,10
M,18,3,1,0,3,4,5,4,10
